Title,Published,Link,Source
Short sellers have made $15 billion betting against Tesla and Nvidia in 2025,2025-03-20 16:46:52+00:00,https://finance.yahoo.com/news/short-sellers-have-made-15-billion-betting-against-tesla-and-nvidia-in-2025-164652312.html,Yahoo Finance
"Uncertainty, lagging Mag 7, rate cut hopes: Market Takeaways",2025-03-20 21:25:04+00:00,https://finance.yahoo.com/video/uncertainty-lagging-mag-7-rate-212504292.html,Yahoo Finance Video
Apple is reportedly losing $1 billion a year on its streaming service as churn levels increase,2025-03-20 17:29:01+00:00,https://finance.yahoo.com/news/apple-is-reportedly-losing-1-billion-a-year-on-its-streaming-service-as-churn-levels-increase-172901811.html,Yahoo Finance
Historical seasonality trends suggest bullish turn for markets,2025-03-20 15:17:42+00:00,https://finance.yahoo.com/video/historical-seasonality-trends-suggest-bullish-151742789.html,Yahoo Finance Video
US-Sanctioned Wingtech to Divest Assets in Face of Heavy Losses,2025-03-21 00:54:04+00:00,https://finance.yahoo.com/news/us-sanctioned-wingtech-divest-assets-005404602.html,Bloomberg
EU regulators are taking action against powerful U.S. tech companies,2025-03-21 00:07:00+00:00,https://www.thestreet.com/technology/eu-regulators-are-taking-action-against-top-u-s-tech-companies-,TheStreet
Apple Shuffles AI Executive Ranks in Bid to Turn Around Siri,2025-03-20 23:42:58+00:00,https://finance.yahoo.com/news/apple-shuffles-ai-executive-ranks-162500488.html,Bloomberg
Apple (AAPL) Dips More Than Broader Market: What You Should Know,2025-03-20 21:45:15+00:00,https://finance.yahoo.com/news/apple-aapl-dips-more-broader-214515634.html,Zacks
"Top Research Reports for Apple, Meta Platforms & Chevron",2025-03-20 21:34:00+00:00,https://finance.yahoo.com/news/top-research-reports-apple-meta-213400955.html,Zacks
Sector Update: Tech Stocks Fall Late Afternoon,2025-03-20 19:50:50+00:00,https://finance.yahoo.com/news/sector-tech-stocks-fall-afternoon-195050402.html,MT Newswires
